공간정보일련번호,해수욕장명,경도,위도,공간정보
209,하조대,128.725732,38.023067,POINT (1107584.2768014744 2003268.2526564437)
210,구영,128.691105,35.031331,POINT (1108651.5479811507 1671350.878989318)
211,구조라,128.692823,34.806878,POINT (1109104.958016454 1646460.2231954029)
212,농소,128.70213,35.006743,POINT (1109690.1263667818 1668636.0070685765)
213,덕원,128.576709,34.778772,POINT (1098517.2237021164 1643223.1975872242)
214,덕포,128.711398,34.912122,POINT (1110662.9919373267 1658152.375927654)
215,망치,128.666874,34.811677,POINT (1106725.153911655 1646964.531910001)
216,명사,128.603771,34.726652,POINT (1101056.942911842 1637470.02465849)
217,물안,128.652875,35.011024,POINT (1105190.0861128327 1669057.7903946154)
218,사곡,128.572971,34.899049,POINT (1098032.4721617985 1656558.2642575745)
219,여차,128.626501,34.7138,POINT (1103154.069322136 1636067.8320873235)
220,옥계,128.630436,34.977797,POINT (1103184.3259272364 1665349.388506122)
221,와현,128.707789,34.813013,POINT (1110465.7480550206 1647156.9759649024)
222,죽림,128.586265,34.83754,POINT (1099321.0784066014 1649749.9662878143)
223,학동,128.641413,34.774786,POINT (1104442.8321858444 1642846.5297808752)
224,함목,128.652622,34.73976,POINT (1105513.0939594135 1638973.8705929085)
225,황포,128.674863,35.02069,POINT (1107183.7860711815 1670153.179240409)
226,흥남,128.715113,34.960063,POINT (1110937.7983351876 1663473.3231780997)
227,두곡월포,127.907466,34.768279,POINT (1037286.571959146 1641607.1655142996)
228,사촌,127.856123,34.741926,POINT (1032598.5868496635 1638666.9622331862)
229,상주은모래비치,127.988089,34.72073,POINT (1044689.9137358781 1636367.1974842097)
230,송정솔바람,128.024114,34.721616,POINT (1047987.9180661797 1636482.0442297107)
231,남일대,128.096475,34.926702,POINT (1054478.164449759 1659261.9801217823)
232,대항,128.212953,34.850928,POINT (1065176.497764897 1650928.4615801647)
233,비진,128.460025,34.720006,POINT (1087902.689356438 1636597.9608230384)
